  Words          P(PERSON)  P(O)   CLASS
  as              0.0029   0.9971   O
  a               0.0029   0.9971   O
  matter          0.0029   0.9971   O
  of              0.0003   0.9997   O
  international   0.0029   0.9971   O
  law             0.0029   0.9971   O
  .               0.0029   0.9971   O
  I               0.0029   0.9971   O
  think           0.0029   0.9971   O
  she             0.0029   0.9971   O
  's              0.0028   0.9972   O
  being           0.0029   0.9971   O
  treated         0.0029   0.9971   O
  in              0.0029   0.9971   O
  the             0.0002   0.9998   O
  most            0.0029   0.9971   O
  abusive         0.0031   0.9969   O
  ,               0.0028   0.9972   O
  tortuous        0.0031   0.9969   O
  way             0.0029   0.9971   O
  ,               0.0028   0.9972   O
  ''              0.0031   0.9969   O
  he              0.0029   0.9971   O
  said            0.0028   0.9972   O
  .               0.0029   0.9971   O
  Richard         0.6526   0.3474   PERSON
  Ratcliffe       0.6989   0.3011   PERSON
  -               0.0029   0.9971   O
  who             0.0029   0.9971   O
  has             0.0028   0.9972   O
  not             0.0029   0.9971   O
  seen            0.0029   0.9971   O
  his             0.0029   0.9971   O
  wife            0.0029   0.9971   O
  since           0.0029   0.9971   O
  2016            0.0031   0.9969   O
  -               0.0029   0.9971   O
  said            0.0028   0.9972   O
  the             0.0002   0.9998   O
  family          0.0029   0.9971   O
  had             0.0028   0.9972   O
  not             0.0029   0.9971   O
  been            0.0029   0.9971   O
  updated         0.0029   0.9971   O
  but             0.0029   0.9971   O
  welcomed        0.0099   0.9901   O
  the             0.0006   0.9994   O
  reports         0.0029   0.9971   O
  on              0.0029   0.9971   O
  Iranian         0.0029   0.9971   O
  state           0.0029   0.9971   O
  TV              0.0028   0.9972   O
  over            0.0029   0.9971   O
  the             0.0002   0.9998   O
  long-running    0.0031   0.9969   O
  dispute         0.0029   0.9971   O
  as              0.0029   0.9971   O
  ``              0.0031   0.9969   O
  a               0.0029   0.9971   O
  good            0.0029   0.9971   O
  sign            0.0099   0.9901   O
  ''              0.0109   0.9891   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  My              0.0027   0.9973   O
  instinct        0.0031   0.9969   O
  is              0.0028   0.9972   O
  that            0.0029   0.9971   O
  it              0.0029   0.9971   O
  is              0.0028   0.9972   O
  actually        0.0029   0.9971   O
  a               0.0029   0.9971   O
  sign            0.0029   0.9971   O
  we              0.0029   0.9971   O
  are             0.0029   0.9971   O
  in              0.0029   0.9971   O
  the             0.0002   0.9998   O
  middle          0.0029   0.9971   O
  of              0.0003   0.9997   O
  negotiations    0.0029   0.9971   O
  rather          0.0029   0.9971   O
  than            0.0029   0.9971   O
  at              0.0029   0.9971   O
  the             0.0006   0.9994   O
  end             0.0099   0.9901   O
  of              0.0003   0.9997   O
  them            0.0029   0.9971   O
  ,               0.0028   0.9972   O
  ''              0.0031   0.9969   O
  he              0.0029   0.9971   O
  told            0.0028   0.9972   O
  the             0.0002   0.9998   O
  BBC             0.0187   0.9813   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  But             0.0029   0.9971   O
  we              0.0029   0.9971   O
  will            0.0028   0.9972   O
  keep            0.0029   0.9971   O
  our             0.0029   0.9971   O
  fingers         0.0029   0.9971   O
  crossed         0.0029   0.9971   O
  -               0.0029   0.9971   O
  for             0.0029   0.9971   O
  ourselves       0.0031   0.9969   O
  ,               0.0028   0.9972   O
  and             0.0029   0.9971   O
  all             0.0029   0.9971   O
  the             0.0002   0.9998   O
  other           0.0029   0.9971   O
  families        0.0029   0.9971   O
  caught          0.0028   0.9972   O
  up              0.0029   0.9971   O
  in              0.0029   0.9971   O
  this            0.0099   0.9901   O
  .               0.0099   0.9901   O
  ``              0.0031   0.9969   O
  .               0.0029   0.9971   O
