  Words          P(PERSON)  P(O)   CLASS
  American        0.0026   0.9974   O
  television      0.0028   0.9972   O
  networks        0.0028   0.9972   O
  ,               0.0028   0.9972   O
  on              0.0028   0.9972   O
  8               0.0028   0.9972   O
  May             0.3150   0.6850   O
  at              0.0028   0.9972   O
  midnight        0.0028   0.9972   O
  GMT             0.0223   0.9777   O
  .               0.0028   0.9972   O
  Last            0.0028   0.9972   O
  year            0.0028   0.9972   O
  ,               0.0118   0.9882   O
  Global          0.1065   0.8935   O
  Citizen         0.1322   0.8678   O
  partnered       0.0118   0.9882   O
  with            0.0028   0.9972   O
  the             0.0002   0.9998   O
  World           0.1067   0.8933   O
  Health          0.1065   0.8935   O
  Organization    0.1322   0.8678   O
  to              0.0028   0.9972   O
  put             0.0028   0.9972   O
  on              0.0028   0.9972   O
  a               0.0028   0.9972   O
  virtual         0.0118   0.9882   O
  concert         0.0028   0.9972   O
  to              0.0028   0.9972   O
  celebrate       0.0028   0.9972   O
  healthcare      0.0028   0.9972   O
  workers         0.0028   0.9972   O
  .               0.0028   0.9972   O
  .               0.0028   0.9972   O
